cluster_id,cluster_id,total_weight
1,1,4030
1,60,10
1,126,6
1,56,29
2,2,3588
2,100,7
2,22,8
2,56,6
2,57,6
2,94,33
3,66,12
3,3,7017
3,76,7
3,8,42
3,44,9
3,109,12
3,79,6
3,17,9
3,60,14
3,19,14
3,21,6
3,87,8
3,72,7
3,28,56
3,93,6
3,63,14
4,65,8
4,52,52
4,4,2857
4,6,7
4,43,8
4,47,6
4,51,7
4,15,21
4,48,26
4,18,15
4,19,8
4,20,8
4,22,32
4,60,7
5,5,13158
5,10,9
5,143,18
5,17,7
5,18,40
5,19,215
5,28,10
5,35,29
5,38,12
5,53,300
5,55,12
5,56,159
5,63,64
5,64,6
5,65,133
5,66,15
5,68,155
5,69,61
5,75,53
5,163,9
5,81,29
5,90,6
5,102,7
5,104,31
6,132,7
6,134,22
6,137,7
6,13,12
6,15,7
6,149,14
6,22,24
6,23,14
6,28,6
6,31,25
6,6,11610
6,48,79
6,52,6
6,54,12
6,58,9
6,72,6
6,79,18
6,90,26
6,91,9
6,104,35
6,127,6
7,7,5257
7,136,15
7,137,17
7,139,17
7,143,12
7,17,8
7,18,6
7,19,35
7,22,18
7,26,7
7,35,11
7,36,29
7,45,10
7,50,21
7,51,6
7,52,6
7,56,6
7,58,13
7,63,107
7,66,43
7,68,24
7,69,14
7,73,7
7,75,7
7,79,6
7,88,6
7,90,14
7,102,6
7,104,13
7,111,8
7,126,6
8,17,7
8,100,6
8,8,5190
8,137,10
8,48,10
8,49,6
8,18,6
8,21,6
8,22,7
8,24,6
8,61,6
8,63,18
9,9,2299
9,19,41
9,20,6
9,72,9
10,137,6
10,10,2417
10,43,6
10,63,14
10,143,6
10,22,9
10,27,6
10,28,10
10,95,7
11,138,8
11,11,4445
11,68,6
11,110,6
11,22,67
12,68,7
12,75,6
12,12,2754
12,100,7
12,18,6
12,20,8
12,56,6
12,28,10
12,64,6
13,33,11
13,65,8
13,44,6
13,72,8
13,107,20
13,88,10
13,13,5737
13,142,7
13,48,34
13,49,12
13,18,8
13,116,11
13,55,7
13,26,13
13,57,18
13,58,16
13,34,6
13,28,16
13,70,6
14,33,6
14,66,8
14,69,20
14,75,17
14,56,8
14,14,4671
14,81,18
14,19,13
14,53,6
14,58,8
14,55,9
14,120,6
14,26,8
14,27,10
14,28,8
14,94,6
15,15,3974
15,54,11
16,133,6
16,43,6
16,48,19
16,19,34
16,21,10
16,22,6
16,27,6
16,16,5109
16,62,17
17,135,14
17,141,8
17,17,8624
17,19,14
17,20,7
17,155,6
17,28,40
17,30,6
17,51,20
17,57,11
17,64,13
17,66,54
17,67,6
17,72,6
17,83,8
17,90,7
17,95,6
17,38,6
18,134,6
18,137,15
18,142,6
18,18,13618
18,19,13
18,20,9
18,22,7
18,24,16
18,27,10
18,28,23
18,160,8
18,33,14
18,34,12
18,35,6
18,40,11
18,42,6
18,48,6
18,53,131
18,57,15
18,63,6
18,69,6
18,72,13
18,75,17
18,81,21
18,83,12
18,88,8
18,90,37
18,100,16
19,19,31023
19,20,78
19,21,21
19,22,8
19,25,15
19,27,7
19,28,59
19,159,8
19,160,6
19,33,19
19,34,13
19,35,35
19,38,196
19,42,12
19,49,14
19,137,9
19,53,156
19,55,37
19,56,47
19,57,36
19,58,13
19,62,53
19,63,99
19,65,61
19,66,64
19,68,57
19,69,12
19,72,7
19,73,6
19,74,6
19,75,251
19,81,6
19,86,18
19,90,55
19,93,9
19,96,9
19,97,44
19,98,13
19,100,14
19,102,12
19,104,68
19,110,6
19,125,6
20,65,22
20,34,7
20,68,8
20,33,7
20,51,10
20,20,4114
20,53,9
20,54,13
20,87,6
20,88,6
20,26,7
20,28,7
20,93,6
20,94,7
20,63,6
21,65,28
21,101,7
21,68,76
21,69,120
21,137,11
21,88,6
21,51,19
21,21,10243
21,58,16
21,26,16
21,28,91
21,63,19
22,149,7
22,22,8679
22,24,40
22,28,30
22,134,10
22,38,10
22,168,6
22,43,17
22,48,60
22,51,6
22,52,13
22,53,6
22,60,51
22,139,6
22,63,6
22,65,190
22,70,10
22,76,6
22,79,7
22,91,8
22,94,20
22,95,13
22,99,6
22,107,38
22,109,19
22,110,6
23,165,6
23,43,6
23,79,12
23,48,18
23,52,11
23,149,6
23,54,13
23,23,9729
23,152,6
23,154,6
23,37,9
23,27,15
23,28,15
23,91,8
23,70,6
24,33,6
24,129,13
24,100,9
24,37,18
24,38,7
24,24,22993
24,109,14
24,142,10
24,76,9
24,85,6
24,119,37
24,120,53
24,56,11
24,27,220
24,28,32
24,134,15
25,25,2260
25,34,21
25,40,9
26,66,30
26,41,6
26,44,7
26,88,6
26,57,7
26,26,4569
26,63,20
26,53,9
27,129,58
27,27,19168
27,28,10
27,33,6
27,162,6
27,35,13
27,37,8
27,72,16
27,55,6
27,63,20
27,65,21
27,69,36
27,34,6
27,82,6
27,91,8
27,109,64
27,115,7
27,126,11
28,28,16571
28,40,10
28,42,6
28,43,10
28,50,9
28,51,6
28,53,16
28,54,8
28,56,6
28,63,14
28,66,12
28,68,10
28,69,7
28,72,22
28,78,11
28,142,31
28,82,6
28,90,23
28,94,16
28,102,11
28,104,21
28,107,7
28,109,58
29,29,5839
29,70,6
30,49,7
30,34,38
30,30,13190
31,31,3387
32,34,7
32,35,7
32,36,13
32,39,36
32,84,6
32,120,7
32,32,6772
33,33,5316
33,69,10
33,74,8
33,43,13
33,142,6
33,52,12
33,53,34
33,87,28
33,48,6
34,138,8
34,153,12
34,34,8700
34,40,30
34,51,6
34,60,6
34,65,9
34,73,6
34,74,13
34,77,33
34,78,13
34,91,8
34,105,35
34,168,9
34,124,9
34,128,6
35,65,18
35,35,6223
35,68,10
35,104,12
35,75,19
35,51,6
35,81,6
35,53,54
35,63,15
35,55,15
35,56,70
35,57,9
35,58,16
35,95,7
36,36,3922
36,102,6
36,76,7
36,56,10
37,37,1959
37,74,17
37,92,36
38,65,23
38,68,10
38,38,2815
38,104,6
38,42,8
38,53,10
39,91,6
39,115,6
39,39,3233
39,48,6
40,40,4050
40,83,6
40,94,20
41,66,6
41,41,4134
41,43,11
41,118,6
41,92,7
41,93,7
41,64,7
42,42,1919
42,79,9
42,81,6
42,53,14
42,54,15
42,60,7
42,95,13
43,60,7
43,43,2911
43,48,23
43,51,8
43,53,31
43,56,9
43,61,13
44,73,6
44,44,6110
44,79,8
44,50,6
44,115,18
44,149,6
44,122,16
44,94,6
45,76,6
45,45,4627
45,120,6
46,53,6
46,149,6
46,46,2118
46,79,6
46,94,15
47,60,7
47,47,1679
48,134,6
48,149,113
48,165,11
48,166,15
48,48,19375
48,51,25
48,52,22
48,54,58
48,60,144
48,65,6
48,70,49
48,79,74
48,82,6
48,86,6
48,90,7
48,91,15
48,103,23
48,104,10
48,106,6
48,107,27
49,99,7
49,49,2571
50,66,23
50,68,10
50,104,10
50,109,6
50,79,8
50,50,2255
50,149,7
50,56,7
50,53,7
50,63,68
51,161,8
51,66,12
51,76,7
51,88,6
51,51,4840
51,149,13
51,55,18
51,58,14
51,91,16
51,94,11
52,65,14
52,148,6
52,134,6
52,52,11216
52,58,27
52,60,33
53,138,28
53,143,10
53,53,13060
53,54,9
53,55,29
53,56,167
53,63,51
53,65,95
53,68,56
53,75,7
53,87,10
53,91,8
53,102,8
53,104,16
53,147,7
53,120,23
53,125,16
54,149,7
54,60,6
54,148,6
54,105,8
54,79,9
54,54,7858
54,90,10
54,91,23
54,80,6
54,70,31
55,65,11
55,68,12
55,69,7
55,72,7
55,75,6
55,81,7
55,83,6
55,55,6037
55,120,6
55,57,8
55,94,8
55,63,28
56,143,8
56,56,10323
56,57,29
56,63,73
56,65,21
56,68,27
56,69,14
56,81,6
56,82,11
56,90,9
56,94,6
56,102,7
56,104,6
56,110,9
56,113,7
57,65,15
57,102,8
57,113,10
57,83,7
57,110,11
57,81,6
57,57,8424
57,90,7
57,125,10
57,63,8
57,64,11
58,69,26
58,104,8
58,136,6
58,110,6
58,90,6
58,58,5278
58,60,27
58,63,28
59,90,6
59,59,1701
59,61,6
60,70,34
60,167,10
60,138,7
60,79,8
60,60,8828
60,63,6
61,61,4495
61,70,6
62,100,12
62,62,4963
62,63,13
63,137,6
63,143,91
63,164,9
63,63,18712
63,65,39
63,66,42
63,68,82
63,69,21
63,72,9
63,75,13
63,82,8
63,84,6
63,86,7
63,88,6
63,90,6
63,100,31
63,109,7
63,110,8
63,118,9
63,123,13
64,66,18
64,68,7
64,104,10
64,94,11
64,64,3041
65,65,14554
65,68,38
65,69,8
65,74,6
65,75,22
65,88,8
65,100,8
65,110,13
65,113,7
65,114,7
65,123,6
66,138,27
66,66,14757
66,69,7
66,73,8
66,75,6
66,84,11
66,86,10
66,104,80
66,109,12
66,110,6
67,89,6
67,67,5330
67,70,6
68,68,7110
68,75,14
68,141,10
69,69,7106
69,75,22
69,143,15
70,130,6
70,70,5163
70,78,12
70,149,20
71,74,14
71,71,528
72,72,2933
72,139,7
72,105,7
73,73,3033
73,146,6
74,104,13
74,74,15263
74,153,11
74,92,92
75,75,5644
75,81,7
75,93,6
76,145,9
76,100,6
76,131,6
76,108,15
76,142,12
76,111,7
76,112,9
76,76,11525
76,140,7
76,80,17
76,95,11
77,77,3907
78,97,15
78,129,8
78,78,4008
78,93,6
79,98,11
79,136,13
79,139,6
79,79,7026
79,149,25
80,80,5517
81,109,7
81,142,6
81,81,2600
81,88,6
82,82,2774
82,117,7
82,124,6
83,99,8
83,135,6
83,115,13
83,83,3986
83,116,14
83,150,6
83,93,18
83,94,12
84,84,718
85,85,4083
86,86,3094
86,120,9
87,87,2302
88,104,6
88,137,6
88,88,3684
89,89,835
90,100,16
90,142,14
90,90,7687
90,102,6
91,105,6
91,121,9
91,91,2126
92,92,10218
92,157,21
93,124,6
93,93,5639
94,108,10
94,109,11
94,158,10
94,94,28671
95,135,9
95,144,6
95,95,7823
95,128,6
96,96,363
97,97,1702
97,104,14
98,98,1728
98,124,8
99,99,7498
99,101,6
100,100,3216
100,110,6
100,136,8
101,129,10
101,101,5823
102,102,1215
102,124,7
103,103,2082
104,104,7306
104,109,6
104,110,6
105,105,4343
106,106,923
107,107,1880
108,108,885
109,129,13
109,109,5602
110,110,2060
111,111,2792
112,112,367
113,113,1247
114,114,1196
115,115,1365
116,116,2556
117,117,1679
118,156,6
118,118,2590
119,119,714
120,151,6
120,120,4619
121,121,2224
122,122,2755
122,146,10
123,123,575
124,142,7
124,150,6
124,124,2568
125,125,1296
126,126,2211
127,127,345
128,128,477
129,129,2711
130,130,520
131,131,334
132,132,559
133,133,3655
134,134,2201
135,135,1987
136,136,2944
137,137,1413
138,138,2929
139,139,1536
140,140,4108
141,141,1022
142,142,3457
143,143,3960
144,144,581
145,145,2717
146,146,1662
147,147,223
148,148,1039
149,149,4750
150,150,1654
151,151,745
152,152,1030
153,153,4023
154,154,348
155,155,337
156,156,8333
157,157,1197
158,158,1187
159,159,508
160,160,265
161,161,9019
162,162,568
163,163,542
164,164,315
165,165,251
166,166,453
167,167,638
168,168,970
